Experiment number: 0;Execution time: 1.044727 seconds
Experiment number: 1;Execution time: 0.758024 seconds
Experiment number: 2;Execution time: 0.872102 seconds
Experiment number: 3;Execution time: 0.875581 seconds
Experiment number: 4;Execution time: 1.322235 seconds
Experiment number: 5;Execution time: 0.972275 seconds
Experiment number: 6;Execution time: 1.196973 seconds
Experiment number: 7;Execution time: 0.888323 seconds
Experiment number: 8;Execution time: 0.694767 seconds
Experiment number: 9;Execution time: 0.909291 seconds
Experiment number: 10;Execution time: 0.597831 seconds
Experiment number: 11;Execution time: 0.512097 seconds
Experiment number: 12;Execution time: 0.974751 seconds
Experiment number: 13;Execution time: 0.715168 seconds
Experiment number: 14;Execution time: 0.851912 seconds
Experiment number: 15;Execution time: 0.465769 seconds
Experiment number: 16;Execution time: 0.690712 seconds
Experiment number: 17;Execution time: 1.217643 seconds
Experiment number: 18;Execution time: 1.021549 seconds
Experiment number: 19;Execution time: 1.140631 seconds
Experiment number: 20;Execution time: 0.472566 seconds
Experiment number: 21;Execution time: 0.759916 seconds
Experiment number: 22;Execution time: 0.786248 seconds
Experiment number: 23;Execution time: 1.100392 seconds
Experiment number: 24;Execution time: 1.393442 seconds
Experiment number: 25;Execution time: 1.240427 seconds
Experiment number: 26;Execution time: 0.518274 seconds
Experiment number: 27;Execution time: 0.774971 seconds
Experiment number: 28;Execution time: 0.694703 seconds
Experiment number: 29;Execution time: 0.963691 seconds
Experiment number: 30;Execution time: 0.891724 seconds
Experiment number: 31;Execution time: 1.165665 seconds
Experiment number: 32;Execution time: 0.955706 seconds
Experiment number: 33;Execution time: 0.746121 seconds
Experiment number: 34;Execution time: 0.970125 seconds
Experiment number: 35;Execution time: 0.863105 seconds
Experiment number: 36;Execution time: 0.412750 seconds
Experiment number: 37;Execution time: 1.017281 seconds
Experiment number: 38;Execution time: 0.828651 seconds
Experiment number: 39;Execution time: 0.742413 seconds
Experiment number: 40;Execution time: 0.933950 seconds
Experiment number: 41;Execution time: 0.716937 seconds
Experiment number: 42;Execution time: 1.281663 seconds
Experiment number: 43;Execution time: 0.987968 seconds
Experiment number: 44;Execution time: 0.918592 seconds
Experiment number: 45;Execution time: 0.799364 seconds
Experiment number: 46;Execution time: 0.971704 seconds
Experiment number: 47;Execution time: 0.972441 seconds
Experiment number: 48;Execution time: 1.321659 seconds
Experiment number: 49;Execution time: 0.729627 seconds
Experiment number: 50;Execution time: 0.894690 seconds
Experiment number: 51;Execution time: 1.147285 seconds
Experiment number: 52;Execution time: 0.828658 seconds
Experiment number: 53;Execution time: 0.880044 seconds
Experiment number: 54;Execution time: 0.739460 seconds
Experiment number: 55;Execution time: 0.840141 seconds
Experiment number: 56;Execution time: 0.876588 seconds
Experiment number: 57;Execution time: 0.633515 seconds
Experiment number: 58;Execution time: 1.254948 seconds
Experiment number: 59;Execution time: 0.538943 seconds
Experiment number: 60;Execution time: 0.767624 seconds
Experiment number: 61;Execution time: 0.843859 seconds
Experiment number: 62;Execution time: 0.911575 seconds
Experiment number: 63;Execution time: 0.971665 seconds
Experiment number: 64;Execution time: 0.642763 seconds
Experiment number: 65;Execution time: 0.861458 seconds
Experiment number: 66;Execution time: 0.838368 seconds
Experiment number: 67;Execution time: 1.054906 seconds
Experiment number: 68;Execution time: 0.667519 seconds
Experiment number: 69;Execution time: 0.807605 seconds
Experiment number: 70;Execution time: 0.750452 seconds
Experiment number: 71;Execution time: 1.277316 seconds
Experiment number: 72;Execution time: 1.014856 seconds
Experiment number: 73;Execution time: 0.728484 seconds
Experiment number: 74;Execution time: 0.800498 seconds
Experiment number: 75;Execution time: 1.304109 seconds
Experiment number: 76;Execution time: 1.127175 seconds
Experiment number: 77;Execution time: 0.324793 seconds
Experiment number: 78;Execution time: 0.769378 seconds
Experiment number: 79;Execution time: 0.506155 seconds
Experiment number: 80;Execution time: 0.643767 seconds
Experiment number: 81;Execution time: 0.856354 seconds
Experiment number: 82;Execution time: 1.062150 seconds
Experiment number: 83;Execution time: 1.035076 seconds
Experiment number: 84;Execution time: 1.023595 seconds
Experiment number: 85;Execution time: 0.774982 seconds
Experiment number: 86;Execution time: 1.055598 seconds
Experiment number: 87;Execution time: 1.476359 seconds
Experiment number: 88;Execution time: 0.846994 seconds
Experiment number: 89;Execution time: 0.634927 seconds
Experiment number: 90;Execution time: 1.262924 seconds
Experiment number: 91;Execution time: 0.839462 seconds
Experiment number: 92;Execution time: 1.053419 seconds
Experiment number: 93;Execution time: 0.578261 seconds
Experiment number: 94;Execution time: 0.656766 seconds
Experiment number: 95;Execution time: 0.821761 seconds
Experiment number: 96;Execution time: 1.034637 seconds
Experiment number: 97;Execution time: 0.807071 seconds
Experiment number: 98;Execution time: 0.795469 seconds
Experiment number: 99;Execution time: 0.740457 seconds
