Experiment number: 0;Execution time: 0.033261 seconds
Experiment number: 1;Execution time: 0.018075 seconds
Experiment number: 2;Execution time: 0.014032 seconds
Experiment number: 3;Execution time: 0.012037 seconds
Experiment number: 4;Execution time: 0.014508 seconds
Experiment number: 5;Execution time: 0.015019 seconds
Experiment number: 6;Execution time: 0.012011 seconds
Experiment number: 7;Execution time: 0.016882 seconds
Experiment number: 8;Execution time: 0.017511 seconds
Experiment number: 9;Execution time: 0.010071 seconds
Experiment number: 10;Execution time: 0.012567 seconds
Experiment number: 11;Execution time: 0.014520 seconds
Experiment number: 12;Execution time: 0.008518 seconds
Experiment number: 13;Execution time: 0.013032 seconds
Experiment number: 14;Execution time: 0.013025 seconds
Experiment number: 15;Execution time: 0.007506 seconds
Experiment number: 16;Execution time: 0.012521 seconds
Experiment number: 17;Execution time: 0.007516 seconds
Experiment number: 18;Execution time: 0.012087 seconds
Experiment number: 19;Execution time: 0.017304 seconds
Experiment number: 20;Execution time: 0.012511 seconds
Experiment number: 21;Execution time: 0.015024 seconds
Experiment number: 22;Execution time: 0.021108 seconds
Experiment number: 23;Execution time: 0.014025 seconds
Experiment number: 24;Execution time: 0.016090 seconds
Experiment number: 25;Execution time: 0.009039 seconds
Experiment number: 26;Execution time: 0.010087 seconds
Experiment number: 27;Execution time: 0.018546 seconds
Experiment number: 28;Execution time: 0.004998 seconds
Experiment number: 29;Execution time: 0.015080 seconds
Experiment number: 30;Execution time: 0.019602 seconds
Experiment number: 31;Execution time: 0.011514 seconds
Experiment number: 32;Execution time: 0.012032 seconds
Experiment number: 33;Execution time: 0.023600 seconds
Experiment number: 34;Execution time: 0.022114 seconds
Experiment number: 35;Execution time: 0.015548 seconds
Experiment number: 36;Execution time: 0.009510 seconds
Experiment number: 37;Execution time: 0.016016 seconds
Experiment number: 38;Execution time: 0.016518 seconds
Experiment number: 39;Execution time: 0.014580 seconds
Experiment number: 40;Execution time: 0.027105 seconds
Experiment number: 41;Execution time: 0.016029 seconds
Experiment number: 42;Execution time: 0.010515 seconds
Experiment number: 43;Execution time: 0.019863 seconds
Experiment number: 44;Execution time: 0.007511 seconds
Experiment number: 45;Execution time: 0.014340 seconds
Experiment number: 46;Execution time: 0.021664 seconds
Experiment number: 47;Execution time: 0.011289 seconds
Experiment number: 48;Execution time: 0.012509 seconds
Experiment number: 49;Execution time: 0.007512 seconds
Experiment number: 50;Execution time: 0.013509 seconds
Experiment number: 51;Execution time: 0.011032 seconds
Experiment number: 52;Execution time: 0.012204 seconds
Experiment number: 53;Execution time: 0.010078 seconds
Experiment number: 54;Execution time: 0.013026 seconds
Experiment number: 55;Execution time: 0.017024 seconds
Experiment number: 56;Execution time: 0.005998 seconds
Experiment number: 57;Execution time: 0.015125 seconds
Experiment number: 58;Execution time: 0.012516 seconds
Experiment number: 59;Execution time: 0.015545 seconds
Experiment number: 60;Execution time: 0.006508 seconds
Experiment number: 61;Execution time: 0.012038 seconds
Experiment number: 62;Execution time: 0.018075 seconds
Experiment number: 63;Execution time: 0.014516 seconds
Experiment number: 64;Execution time: 0.006506 seconds
Experiment number: 65;Execution time: 0.015040 seconds
Experiment number: 66;Execution time: 0.020091 seconds
Experiment number: 67;Execution time: 0.018656 seconds
Experiment number: 68;Execution time: 0.026153 seconds
Experiment number: 69;Execution time: 0.024747 seconds
Experiment number: 70;Execution time: 0.021024 seconds
Experiment number: 71;Execution time: 0.008509 seconds
Experiment number: 72;Execution time: 0.008506 seconds
Experiment number: 73;Execution time: 0.016013 seconds
Experiment number: 74;Execution time: 0.010514 seconds
Experiment number: 75;Execution time: 0.022590 seconds
Experiment number: 76;Execution time: 0.011512 seconds
Experiment number: 77;Execution time: 0.013511 seconds
Experiment number: 78;Execution time: 0.013015 seconds
Experiment number: 79;Execution time: 0.014038 seconds
Experiment number: 80;Execution time: 0.007058 seconds
Experiment number: 81;Execution time: 0.017019 seconds
Experiment number: 82;Execution time: 0.008999 seconds
Experiment number: 83;Execution time: 0.011085 seconds
Experiment number: 84;Execution time: 0.020696 seconds
Experiment number: 85;Execution time: 0.011550 seconds
Experiment number: 86;Execution time: 0.013518 seconds
Experiment number: 87;Execution time: 0.009064 seconds
Experiment number: 88;Execution time: 0.009580 seconds
Experiment number: 89;Execution time: 0.020028 seconds
Experiment number: 90;Execution time: 0.010456 seconds
Experiment number: 91;Execution time: 0.006000 seconds
Experiment number: 92;Execution time: 0.012550 seconds
Experiment number: 93;Execution time: 0.012025 seconds
Experiment number: 94;Execution time: 0.008511 seconds
Experiment number: 95;Execution time: 0.010507 seconds
Experiment number: 96;Execution time: 0.009064 seconds
Experiment number: 97;Execution time: 0.008018 seconds
Experiment number: 98;Execution time: 0.005999 seconds
Experiment number: 99;Execution time: 0.013543 seconds
